situacion,zona,propuesta_id,titulo_propuesta,enlace,apoyos,categoria,aparece_en_mesa,orden_detectado_en_mesa,aparece_en_final_126,fiabilidad_lectura_mesa
Mesa pero no final,Zona Esgueva 2,8218,MODIFICAR SUELO DEL CENTRO CIVICO PILARICA (agrupada con 7986),https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8218,15,Urbanismo,SI,8,NO,alta
Mesa pero no final,Zona Esgueva 1,8470,Arreglo de la acera derecha Prado de la Magdalena (agrupada con 8423),https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8470,14,Urbanismo,SI,32,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Esgueva 1,8529,Arreglo de la acera derecha Prado de la Magdalena,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8529,13,Urbanismo,SI,34,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Esgueva 2,8223,SUELO DIFERENTE QUE AISLE PARA LAS ACTIVIDADES DE YOGA (agrupada con 7986),https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8223,13,Urbanismo,SI,9,NO,alta
Mesa pero no final,Zona Esgueva 2,8228,SUELO DIFERENTE QUE AISLE PARA LAS ACTIVIDADES DE YOGA (agrupada con 7986),https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8228,11,Urbanismo,SI,10,NO,alta
Mesa pero no final,Zona Esgueva 1,7773,Instalación de Bancos en la calle Manuel Linares Rivas y en la C/Madre de Dios,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7773,10,Urbanismo,SI,16,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Esgueva 2,8217,Modificar suelo (agrupada con 7986),https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8217,7,Deportes | Urbanismo,SI,7,NO,alta
Mesa pero no final,Zona Este 2,8454,Mejora del exterior del CIC Santiago López,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8454,6,Participación ciudadana - Asociaciones | Medio Ambiente - Limpieza | Urbanismo,SI,9,NO,alta
Mesa pero no final,Zona Este 2,8464,Cancha deportiva multideporte en la plaza junto al CIC Santiago López,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8464,6,Deportes | Participación ciudadana - Asociaciones | Urbanismo,SI,5,NO,alta
Final pero no detectada en mesa,Zona Pisuerga 1,8225,Mejora de la pista de patinaje de velocidad La Victoria – Puente Jardín,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8225,173,Deportes,NO,,SI,no aplica
Final pero no detectada en mesa,Zona Esgueva 2,8287,Mejora de las Instalaciones Complejo Deportivo Ciudad de Valladolid,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8287,169,Deportes | Participación ciudadana - Asociaciones,NO,,SI,no aplica
